coord_x,coord_y,type,E,N,W,S,NE,NW,SW,SE
0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,4,0.4444444444444444,0.0,0.0,0.0,0.4859126579037751,0.0,0.0,0.4608885989624768
9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.1830211245352399,0.0
2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,4,0.4444444444444444,0.0,0.0,0.0,0.4859126579037751,0.0,0.0,0.4608885989624768
9,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,4,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1830211245352399,0.0
2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,4,0.4444444444444444,0.0,0.0,0.0,0.4859126579037751,0.0,0.0,0.0
9,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,4,0.0,0.0,0.2222222222222222,0.0,0.0,0.20611564746694744,0.1830211245352399,0.0
2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,4,0.0,0.0,0.0,0.0,0.4859126579037751,0.0,0.0,0.0
9,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,4,0.0,0.0,0.2222222222222222,0.0,0.0,0.20611564746694744,0.1830211245352399,0.0
2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,4,0.0,0.0,0.2222222222222222,0.6333333333333333,0.0,0.20611564746694744,0.1830211245352399,0.6275275688551083
2,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6275275688551083
3,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6275275688551083
4,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6275275688551083
5,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6275275688551083
6,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6275275688551083
7,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6275275688551083
8,8,4,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.6423252286392036,0.6029611028111748
9,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
